=== KEYSTROKE LOG ===
index,key,type,elapsed_ms,flight_time_ms,word_index,input_snapshot
51,t,char,32022.000,32022.000,,1130.000
52,h,char,32300.000,32300.000,,278.000
53,e,char,32726.000,32726.000,,426.000
54,m,char,33054.000,33054.000,,328.000
55,SPACE,char,33302.000,33302.000,,248.000
56,g,char,34388.000,34388.000,,1086.000
57,e,char,34752.000,34752.000,,364.000
58,t,char,35182.000,35182.000,,430.000
59,SPACE,char,36435.000,36435.000,,1253.000
60,h,char,37475.000,37475.000,,1040.000
61,o,char,38086.000,38086.000,,611.000
62,u,char,38420.000,38420.000,,334.000
63,s,char,38982.000,38982.000,,562.000
64,e,char,39342.000,39342.000,,360.000
65,SPACE,char,40135.000,40135.000,,793.000
66,o,char,40904.000,40904.000,,769.000
67,n,char,41374.000,41374.000,,470.000
68,SPACE,char,41658.000,41658.000,,284.000
69,t,char,42944.000,42944.000,,1286.000
70,o,char,43294.000,43294.000,,350.000
71,g,char,43842.000,43842.000,,548.000
72,r,char,44344.000,44344.000,,502.000
73,Backspace,backspace,46242.000,,46242.000,1898.000
74,e,char,46593.000,46593.000,,351.000
75,t,char,47000.000,47000.000,,407.000
76,h,char,47270.000,47270.000,,270.000
77,e,char,47699.000,47699.000,,429.000
78,r,char,47910.000,47910.000,,211.000
79,SPACE,char,48885.000,48885.000,,975.000
80,l,char,49397.000,49397.000,,512.000
81,a,char,49706.000,49706.000,,309.000
82,n,char,50284.000,50284.000,,578.000
83,d,char,50694.000,50694.000,,410.000
84,SPACE,char,51422.000,51422.000,,728.000
85,e,char,52902.000,52902.000,,1480.000
86,e,char,53015.000,53015.000,,113.000
87,Backspace,backspace,54432.000,,54432.000,1417.000
88,v,char,55000.000,55000.000,,568.000
89,e,char,55481.000,55481.000,,481.000
90,r,char,55865.000,55865.000,,384.000
91,y,char,56573.000,56573.000,,708.000
92,SPACE,char,57306.000,57306.000,,733.000
93,y,char,58041.000,58041.000,,735.000
94,e,char,58574.000,58574.000,,533.000
95,a,char,59235.000,59235.000,,661.000
96,r,char,59791.000,59791.000,,556.000

=== FLIGHT TIME ANALYSIS ===
from_key,to_key,flight_time_ms,type
a,s,1460.000,char
s,k,305.000,char
k,e,505.000,char
e,d,488.000,char
d,SPACE,762.000,char
SPACE,c,972.000,char
c,i,462.000,char
i,t,511.000,char
t,y,301.000,char
y,SPACE,782.000,char
SPACE,r,1012.000,char
r,i,390.000,char
i,v,725.000,char
v,e,763.000,char
e,r,310.000,char
r,SPACE,762.000,char
SPACE,c,712.000,char
c,o,336.000,char
o,l,470.000,char
l,o,350.000,char
o,u,319.000,char
u,r,467.000,char
r,Backspace,1597.000,backspace
Backspace,Backspace,649.000,backspace
Backspace,u,1372.000,char
u,r,600.000,char
r,SPACE,208.000,char
SPACE,w,1404.000,char
w,h,374.000,char
h,i,478.000,char
i,l,458.000,char
l,e,581.000,char
e,SPACE,371.000,char
SPACE,w,1237.000,char
w,e,347.000,char
e,l,610.000,char
l,l,483.000,char
l,SPACE,747.000,char
SPACE,s,542.000,char
s,t,721.000,char
t,o,1030.000,char
o,n,441.000,char
n,e,386.000,char
e,SPACE,359.000,char
SPACE,p,1006.000,char
p,o,384.000,char
o,i,267.000,char
i,n,346.000,char
n,t,482.000,char
t,SPACE,248.000,char
SPACE,t,1130.000,char
t,h,278.000,char
h,e,426.000,char
e,m,328.000,char
m,SPACE,248.000,char
SPACE,g,1086.000,char
g,e,364.000,char
e,t,430.000,char
t,SPACE,1253.000,char
SPACE,h,1040.000,char
h,o,611.000,char
o,u,334.000,char
u,s,562.000,char
s,e,360.000,char
e,SPACE,793.000,char
SPACE,o,769.000,char
o,n,470.000,char
n,SPACE,284.000,char
SPACE,t,1286.000,char
t,o,350.000,char
o,g,548.000,char
g,r,502.000,char
r,Backspace,1898.000,backspace
Backspace,e,351.000,char
e,t,407.000,char
t,h,270.000,char
h,e,429.000,char
e,r,211.000,char
r,SPACE,975.000,char
SPACE,l,512.000,char
l,a,309.000,char
a,n,578.000,char
n,d,410.000,char
d,SPACE,728.000,char
