=== KEYSTROKE LOG ===
index,key,type,elapsed_ms,flight_time_ms,word_index,input_snapshot
0,u,char,0.000,0.000,0,u
1,s,char,366.000,366.000,0,us
2,SPACE,char,700.000,334.000,0,us
3,g,char,1498.000,798.000,1,g
4,o,char,1975.000,477.000,1,go
5,o,char,2151.000,176.000,1,goo
6,d,char,2439.000,288.000,1,good
7,SPACE,char,2928.000,489.000,1,good
8,b,char,4059.000,1131.000,2,b
9,e,char,4406.000,347.000,2,be
10,t,char,4774.000,368.000,2,bet
11,w,char,5330.000,556.000,2,betw
12,e,char,5736.000,406.000,2,betwe
13,e,char,5941.000,205.000,2,betwee
14,n,char,6250.000,309.000,2,between
15,SPACE,char,6466.000,216.000,2,between
16,w,char,7610.000,1144.000,3,w
17,i,char,8149.000,539.000,3,wi
18,t,char,8604.000,455.000,3,wit
19,h,char,8846.000,242.000,3,with
20,SPACE,char,9360.000,514.000,3,with
21,g,char,10574.000,1214.000,4,g
22,o,char,11294.000,720.000,4,go
23,SPACE,char,11675.000,381.000,4,go
24,g,char,12775.000,1100.000,5,g
25,o,char,13326.000,551.000,5,go
26,o,char,13500.000,174.000,5,goo
27,d,char,13800.000,300.000,5,good
28,SPACE,char,14059.000,259.000,5,good
29,l,char,15212.000,1153.000,6,l
30,e,char,15766.000,554.000,6,le
31,a,char,16256.000,490.000,6,lea
32,r,char,17079.000,823.000,6,lear
33,n,char,17971.000,892.000,6,learn
34,SPACE,char,18567.000,596.000,6,learn
35,e,char,19773.000,1206.000,7,e
36,a,char,20220.000,447.000,7,ea
37,s,char,21288.000,1068.000,7,eas
38,t,char,21823.000,535.000,7,east
39,SPACE,char,22833.000,1010.000,7,east
40,c,char,23450.000,617.000,8,c
41,a,char,23730.000,280.000,8,ca
42,r,char,24364.000,634.000,8,car
43,r,char,24611.000,247.000,8,carr
44,y,char,25037.000,426.000,8,carry
45,SPACE,char,25677.000,640.000,8,carry
46,n,char,26423.000,746.000,9,n
47,e,char,26825.000,402.000,9,ne
48,v,char,27549.000,724.000,9,nev
49,e,char,27872.000,323.000,9,neve
50,r,char,28080.000,208.000,9,never
51,SPACE,char,28531.000,451.000,9,never
52,n,char,29337.000,806.000,10,n
53,e,char,29673.000,336.000,10,ne
54,e,char,29894.000,221.000,10,nee
55,d,char,30220.000,326.000,10,need
56,SPACE,char,30438.000,218.000,10,need
57,h,char,31878.000,1440.000,11,h
58,o,char,32318.000,440.000,11,ho
59,u,char,32627.000,309.000,11,hou
60,s,char,32994.000,367.000,11,hous
61,e,char,33302.000,308.000,11,house
62,SPACE,char,33546.000,244.000,11,house
63,o,char,34943.000,1397.000,12,o
64,n,char,35302.000,359.000,12,on
65,Backspace,backspace,36210.000,908.000,12,on
66,v,char,36717.000,507.000,12,ov
67,e,char,36997.000,280.000,12,ove
68,r,char,37196.000,199.000,12,over
69,SPACE,char,37763.000,567.000,12,over
70,w,char,38897.000,1134.000,13,w
71,o,char,39286.000,389.000,13,wo
72,u,char,39597.000,311.000,13,wou
73,l,char,39939.000,342.000,13,woul
74,d,char,40352.000,413.000,13,would
75,SPACE,char,40588.000,236.000,13,would
76,s,char,41779.000,1191.000,14,s
77,m,char,42217.000,438.000,14,sm
78,i,char,42529.000,312.000,14,smi
79,l,char,42863.000,334.000,14,smil
80,e,char,43202.000,339.000,14,smile
81,SPACE,char,43545.000,343.000,14,smile
82,o,char,44353.000,808.000,15,o
83,f,char,44723.000,370.000,15,of
84,SPACE,char,44973.000,250.000,15,of
85,f,char,47574.000,2601.000,16,f
86,e,char,47979.000,405.000,16,fe
87,w,char,48509.000,530.000,16,few
88,SPACE,char,48853.000,344.000,16,few
89,g,char,49816.000,963.000,17,g
90,r,char,50279.000,463.000,17,gr
91,e,char,50502.000,223.000,17,gre
92,a,char,50905.000,403.000,17,grea
93,t,char,51308.000,403.000,17,great
94,SPACE,char,51889.000,581.000,17,great
95,k,char,52693.000,804.000,18,k
96,n,char,53321.000,628.000,18,kn
97,o,char,53702.000,381.000,18,kno
98,e,char,54213.000,511.000,18,knoe
99,Backspace,backspace,55218.000,1005.000,18,knoe
100,w,char,55556.000,338.000,18,know
101,SPACE,char,55858.000,302.000,18,know
102,l,char,57103.000,1245.000,19,l
103,a,char,57543.000,440.000,19,la
104,z,char,58062.000,519.000,19,laz
105,y,char,58566.000,504.000,19,lazy
106,SPACE,char,59011.000,445.000,19,lazy

=== ERROR ANALYSIS (Tn / Tb) ===
index,key,type,elapsed_ms,Tn_ms,Tb_ms,flight_time_ms
0,u,char,0.000,0.000,,0.000
1,s,char,366.000,366.000,,366.000
2,SPACE,char,700.000,700.000,,334.000
3,g,char,1498.000,1498.000,,798.000
4,o,char,1975.000,1975.000,,477.000
5,o,char,2151.000,2151.000,,176.000
6,d,char,2439.000,2439.000,,288.000
7,SPACE,char,2928.000,2928.000,,489.000
8,b,char,4059.000,4059.000,,1131.000
9,e,char,4406.000,4406.000,,347.000
10,t,char,4774.000,4774.000,,368.000
11,w,char,5330.000,5330.000,,556.000
12,e,char,5736.000,5736.000,,406.000
13,e,char,5941.000,5941.000,,205.000
14,n,char,6250.000,6250.000,,309.000
