=== KEYSTROKE LOG ===
index,key,type,elapsed_ms,flight_time_ms,word_index,input_snapshot
0,l,char,0.000,0.000,0,l
1,a,char,185.000,185.000,0,la
2,r,char,395.000,210.000,0,lar
3,g,char,1250.000,855.000,0,larg
4,e,char,1578.000,328.000,0,large
5,SPACE,char,2145.000,567.000,0,large
6,p,char,3231.000,1086.000,1,p
7,o,char,3313.000,82.000,1,po
8,f,char,3782.000,469.000,1,pof
9,Backspace,backspace,5659.000,1877.000,1,pof
10,Backspace,backspace,5867.000,208.000,1,po
11,Backspace,backspace,6282.000,415.000,1,p
12,o,char,7199.000,917.000,1,o
13,f,char,8008.000,809.000,1,of
14,SPACE,char,8497.000,489.000,1,of
15,t,char,9417.000,920.000,2,t
16,h,char,9915.000,498.000,2,th
17,i,char,10183.000,268.000,2,thi
18,n,char,10761.000,578.000,2,thin
19,k,char,11061.000,300.000,2,think
20,SPACE,char,11877.000,816.000,2,think
21,g,char,12442.000,565.000,3,g
22,r,char,12751.000,309.000,3,gr
23,o,char,13278.000,527.000,3,gro
24,w,char,13691.000,413.000,3,grow
25,SPACE,char,14077.000,386.000,3,grow
26,t,char,14963.000,886.000,4,t
27,h,char,15434.000,471.000,4,th
28,e,char,16442.000,1008.000,4,the
29,y,char,16740.000,298.000,4,they
30,SPACE,char,17166.000,426.000,4,they
31,t,char,18044.000,878.000,5,t
32,a,char,18332.000,288.000,5,ta
33,k,char,18755.000,423.000,5,tak
34,e,char,19115.000,360.000,5,take
35,SPACE,char,19340.000,225.000,5,take
36,t,char,20534.000,1194.000,6,t
37,h,char,21024.000,490.000,6,th
38,e,char,21734.000,710.000,6,the
39,i,char,21956.000,222.000,6,thei
40,r,char,22456.000,500.000,6,their
41,SPACE,char,22738.000,282.000,6,their
42,n,char,25263.000,2525.000,7,n
43,o,char,25514.000,251.000,7,no
44,w,char,25976.000,462.000,7,now
45,SPACE,char,26236.000,260.000,7,now
46,p,char,27184.000,948.000,8,p
47,o,char,27408.000,224.000,8,po
48,i,char,27734.000,326.000,8,poi
