=== KEYSTROKE LOG ===
index,key,type,elapsed_ms,flight_time_ms,word_index,input_snapshot
16,u,char,6318.200,6318.200,,225.800
17,r,char,6763.500,6763.500,,445.300
18,SPACE,char,6954.400,6954.400,,190.900
19,n,char,8080.700,8080.700,,1126.300
20,Backspace,backspace,8754.500,,8754.500,673.800
21,b,char,9213.800,9213.800,,459.300
22,e,char,9450.600,9450.600,,236.800
23,e,char,9596.700,9596.700,,146.100
24,t,char,9977.000,9977.000,,380.300
25,w,char,10433.900,10433.900,,456.900
26,e,char,10690.600,10690.600,,256.700
27,e,char,10984.200,10984.200,,293.600
28,n,char,11282.500,11282.500,,298.300
29,SPACE,char,11482.300,11482.300,,199.800
30,n,char,12799.900,12799.900,,1317.600
31,e,char,13132.800,13132.800,,332.900
32,e,char,13306.700,13306.700,,173.900
33,d,char,13510.800,13510.800,,204.100
34,SPACE,char,13728.600,13728.600,,217.800
35,r,char,14938.700,14938.700,,1210.100
36,u,char,15182.800,15182.800,,244.100
37,m,char,15460.800,15460.800,,278.000
38,n,char,16968.300,16968.300,,1507.500
39,SPACE,char,17188.900,17188.900,,220.600
40,t,char,18432.600,18432.600,,1243.700
41,r,char,18642.600,18642.600,,210.000
42,e,char,18904.900,18904.900,,262.300
43,e,char,19091.000,19091.000,,186.100
44,SPACE,char,19336.900,19336.900,,245.900
45,w,char,20228.900,20228.900,,892.000
46,i,char,20483.400,20483.400,,254.500
47,l,char,20831.700,20831.700,,348.300
48,l,char,21032.300,21032.300,,200.600
49,SPACE,char,21193.000,21193.000,,160.700
50,t,char,22170.500,22170.500,,977.500
51,i,char,22405.000,22405.000,,234.500
52,m,char,22665.100,22665.100,,260.100
53,e,char,23259.100,23259.100,,594.000
54,SPACE,char,23420.800,23420.800,,161.700
55,s,char,24470.800,24470.800,,1050.000
56,t,char,24976.500,24976.500,,505.700
57,a,char,25109.000,25109.000,,132.500
58,r,char,25301.000,25301.000,,192.000
59,t,char,25619.200,25619.200,,318.200
60,y,char,25623.900,25623.900,,4.700
61,t,char,26075.100,26075.100,,451.200
62,SPACE,char,26436.300,26436.300,,361.200
63,l,char,27612.700,27612.700,,1176.400
64,a,char,27777.400,27777.400,,164.700
65,r,char,28221.100,28221.100,,443.700
66,g,char,28455.200,28455.200,,234.100
67,e,char,28605.100,28605.100,,149.900
68,SPACE,char,28793.100,28793.100,,188.000
69,b,char,29709.400,29709.400,,916.300
70,e,char,29915.300,29915.300,,205.900
71,SPACE,char,30057.400,30057.400,,142.100
72,c,char,31013.900,31013.900,,956.500
73,o,char,31223.200,31223.200,,209.300
74,m,char,31453.100,31453.100,,229.900
75,e,char,31739.300,31739.300,,286.200
76,SPACE,char,31933.300,31933.300,,194.000
77,s,char,33258.600,33258.600,,1325.300
78,h,char,34517.300,34517.300,,1258.700
79,o,char,34734.900,34734.900,,217.600
80,u,char,35005.300,35005.300,,270.400
81,l,char,35322.500,35322.500,,317.200
82,d,char,35673.400,35673.400,,350.900
83,SPACE,char,35919.400,35919.400,,246.000
84,m,char,37314.700,37314.700,,1395.300
85,e,char,37516.600,37516.600,,201.900
86,t,char,37832.100,37832.100,,315.500
87,a,char,38034.400,38034.400,,202.300
88,l,char,38429.600,38429.600,,395.200
89,SPACE,char,38647.400,38647.400,,217.800
90,u,char,39951.100,39951.100,,1303.700
91,s,char,40404.500,40404.500,,453.400
92,e,char,40661.300,40661.300,,256.800
93,SPACE,char,40813.200,40813.200,,151.900
94,a,char,41820.900,41820.900,,1007.700
95,b,char,42259.100,42259.100,,438.200
96,o,char,42718.300,42718.300,,459.200
97,u,char,42985.900,42985.900,,267.600
98,t,char,43328.400,43328.400,,342.500
99,SPACE,char,43545.500,43545.500,,217.100
100,w,char,44799.400,44799.400,,1253.900
101,h,char,45079.300,45079.300,,279.900
102,i,char,45269.500,45269.500,,190.200
103,l,char,45751.300,45751.300,,481.800
104,e,char,46020.700,46020.700,,269.400
105,SPACE,char,46237.300,46237.300,,216.600
106,d,char,47219.400,47219.400,,982.100
107,o,char,47435.400,47435.400,,216.000
108,SPACE,char,47629.400,47629.400,,194.000
109,l,char,48330.900,48330.900,,701.500
110,a,char,48549.700,48549.700,,218.800
111,r,char,49385.200,49385.200,,835.500
112,g,char,49593.100,49593.100,,207.900
113,e,char,49801.200,49801.200,,208.100
114,SPACE,char,50045.600,50045.600,,244.400
115,d,char,51155.700,51155.700,,1110.100
116,o,char,51365.700,51365.700,,210.000
117,SPACE,char,51531.500,51531.500,,165.800
118,n,char,53523.100,53523.100,,1991.600
119,e,char,53769.600,53769.600,,246.500
120,w,char,54007.700,54007.700,,238.100
121,SPACE,char,54576.900,54576.900,,569.200
122,s,char,55395.100,55395.100,,818.200
123,a,char,55536.900,55536.900,,141.800
124,y,char,55871.300,55871.300,,334.400
125,SPACE,char,56070.900,56070.900,,199.600
126,b,char,56751.000,56751.000,,680.100
127,e,char,56957.000,56957.000,,206.000
128,SPACE,char,57126.800,57126.800,,169.800
129,s,char,58221.300,58221.300,,1094.500
130,m,char,58410.400,58410.400,,189.100
131,i,char,58614.700,58614.700,,204.300
132,l,char,58868.700,58868.700,,254.000
133,e,char,59129.100,59129.100,,260.400
134,SPACE,char,59345.200,59345.200,,216.100

=== FLIGHT TIME ANALYSIS ===
from_key,to_key,flight_time_ms,type
o,c,344.600,char
c,e,257.500,char
e,a,570.300,char
a,n,242.000,char
n,SPACE,253.900,char
SPACE,a,776.100,char
a,l,261.900,char
l,l,168.300,char
l,SPACE,68.900,char
SPACE,d,824.500,char
d,o,414.600,char
o,g,512.800,char
g,SPACE,191.100,char
SPACE,y,964.200,char
y,o,241.700,char
o,u,225.800,char
u,r,445.300,char
r,SPACE,190.900,char
SPACE,n,1126.300,char
n,Backspace,673.800,backspace
Backspace,b,459.300,char
b,e,236.800,char
e,e,146.100,char
e,t,380.300,char
t,w,456.900,char
w,e,256.700,char
e,e,293.600,char
e,n,298.300,char
n,SPACE,199.800,char
SPACE,n,1317.600,char
n,e,332.900,char
e,e,173.900,char
e,d,204.100,char
d,SPACE,217.800,char
SPACE,r,1210.100,char
r,u,244.100,char
u,m,278.000,char
m,n,1507.500,char
n,SPACE,220.600,char
SPACE,t,1243.700,char
t,r,210.000,char
r,e,262.300,char
e,e,186.100,char
e,SPACE,245.900,char
SPACE,w,892.000,char
