=== KEYSTROKE LOG ===
index,key,type,elapsed_ms,flight_time_ms,word_index,input_snapshot
0,b,char,0.000,0.000,0,b
1,e,char,115.200,115.200,0,be
2,t,char,436.400,321.200,0,bet
3,w,char,959.100,522.700,0,betw
4,w,char,1152.200,193.100,0,betww
5,e,char,1325.500,173.300,0,betwwe
6,n,char,1671.800,346.300,0,betwwen
7,SPACE,char,1885.000,213.200,0,betwwen
8,g,char,3309.200,1424.200,1,g
9,o,char,3574.000,264.800,1,go
10,d,char,4234.000,660.000,1,god
11,SPACE,char,4422.000,188.000,1,god
12,r,char,6054.000,1632.000,2,r
13,i,char,6305.800,251.800,2,ri
14,v,char,6775.400,469.600,2,riv
15,e,char,7011.300,235.900,2,rive
16,r,char,7232.000,220.700,2,river
17,SPACE,char,7474.500,242.500,2,river
18,e,char,8360.700,886.200,3,e
19,a,char,8622.000,261.300,3,ea
20,t,char,9084.000,462.000,3,eat
21,h,char,9383.700,299.700,3,eath
22,r,char,9599.900,216.200,3,eathr
23,SPACE,char,9797.900,198.000,3,eathr
24,p,char,10957.900,1160.000,4,p
25,l,char,11175.600,217.700,4,pl
26,a,char,11417.400,241.800,4,pla
27,n,char,11803.800,386.400,4,plan
28,t,char,12323.300,519.500,4,plant
29,SPACE,char,12527.900,204.600,4,plant
30,a,char,13382.800,854.900,5,a
31,n,char,13633.600,250.800,5,an
32,d,char,13903.900,270.300,5,and
33,SPACE,char,14129.800,225.900,5,and
34,f,char,15372.700,1242.900,6,f
35,o,char,15585.600,212.900,6,fo
36,Backspace,backspace,16446.400,860.800,6,fo
37,i,char,17730.100,1283.700,6,fi
38,r,char,18299.700,569.600,6,fir
39,e,char,18425.400,125.700,6,fire
40,SPACE,char,18605.500,180.100,6,fire
41,s,char,19476.200,870.700,7,s
42,h,char,19711.600,235.400,7,sh
43,e,char,19997.600,286.000,7,she
44,SPACE,char,20187.300,189.700,7,she
45,g,char,21471.000,1283.700,8,g
46,o,char,22051.500,580.500,8,go
47,u,char,22327.400,275.900,8,gou
48,p,char,23014.700,687.300,8,goup
49,p,char,23745.600,730.900,8,goupp
50,SPACE,char,24003.300,257.700,8,goupp
51,s,char,24769.400,766.100,9,s
52,h,char,25107.400,338.000,9,sh
53,e,char,25340.900,233.500,9,she
54,SPACE,char,25511.400,170.500,9,she
55,w,char,26414.400,903.000,10,w
56,a,char,26679.400,265.000,10,wa
57,n,char,26905.500,226.100,10,wan
58,t,char,27432.500,527.000,10,want
59,SPACE,char,27653.300,220.800,10,want
60,t,char,28830.000,1176.700,11,t
61,h,char,29163.200,333.200,11,th
62,e,char,29438.900,275.700,11,the
63,s,char,29687.300,248.400,11,thes
64,e,char,29921.400,234.100,11,these
65,SPACE,char,30131.200,209.800,11,these
66,o,char,31047.200,916.000,12,o
67,v,char,31970.500,923.300,12,ov
68,e,char,32261.300,290.800,12,ove
69,r,char,32529.200,267.900,12,over
70,SPACE,char,32793.200,264.000,12,over
71,d,char,34093.200,1300.000,13,d
72,r,char,34483.600,390.400,13,dr
