=== KEYSTROKE LOG ===
index,key,type,elapsed_ms,flight_time_ms,word_index,input_snapshot
0,c,char,0.000,0.000,0,c
1,a,char,273.000,273.000,0,ca
2,r,char,806.000,533.000,0,car
3,r,char,998.000,192.000,0,carr
4,y,char,1383.000,385.000,0,carry
5,SPACE,char,1646.000,263.000,0,carry
6,c,char,2517.000,871.000,1,c
7,o,char,2761.000,244.000,1,co
8,l,char,4546.000,1785.000,1,col
9,o,char,4786.000,240.000,1,colo
10,r,char,5024.000,238.000,1,color
11,SPACE,char,5366.000,342.000,1,color
12,w,char,6118.000,752.000,2,w
13,o,char,6800.000,682.000,2,wo
14,u,char,7038.000,238.000,2,wou
15,;,char,7052.000,14.000,2,wou;
16,l,char,7327.000,275.000,2,wou;l
17,Backspace,backspace,8756.000,1429.000,2,wou;l
18,Backspace,backspace,8947.000,191.000,2,wou;
19,l,char,9823.000,876.000,2,woul
20,d,char,10495.000,672.000,2,would
21,SPACE,char,10690.000,195.000,2,would
22,g,char,11384.000,694.000,3,g
23,o,char,11568.000,184.000,3,go
24,o,char,11716.000,148.000,3,goo
25,d,char,11939.000,223.000,3,good
26,SPACE,char,12486.000,547.000,3,good
27,b,char,13100.000,614.000,4,b
28,r,char,13416.000,316.000,4,br
29,o,char,13800.000,384.000,4,bro
30,w,char,14208.000,408.000,4,brow
31,n,char,14418.000,210.000,4,brown
32,SPACE,char,14699.000,281.000,4,brown
33,c,char,15459.000,760.000,5,c
34,i,char,15645.000,186.000,5,ci
35,t,char,16169.000,524.000,5,cit
36,y,char,16424.000,255.000,5,city
37,SPACE,char,16786.000,362.000,5,city
38,b,char,17236.000,450.000,6,b
39,u,char,17553.000,317.000,6,bu
40,t,char,18877.000,1324.000,6,but
41,SPACE,char,19081.000,204.000,6,but
42,r,char,20253.000,1172.000,7,r
43,i,char,20661.000,408.000,7,ri
44,v,char,20965.000,304.000,7,riv
45,Backspace,backspace,21880.000,915.000,7,riv
46,v,char,22961.000,1081.000,7,riv
47,e,char,23166.000,205.000,7,rive
48,r,char,23312.000,146.000,7,river
49,SPACE,char,23706.000,394.000,7,river
50,w,char,24475.000,769.000,8,w
51,h,char,24711.000,236.000,8,wh
52,e,char,24984.000,273.000,8,whe
53,n,char,25171.000,187.000,8,when
54,SPACE,char,25457.000,286.000,8,when
55,a,char,26278.000,821.000,9,a
56,n,char,26361.000,83.000,9,an
57,SPACE,char,26522.000,161.000,9,an
58,g,char,27509.000,987.000,10,g
59,r,char,27785.000,276.000,10,gr
60,o,char,28041.000,256.000,10,gro
61,u,char,28258.000,217.000,10,grou
62,p,char,28518.000,260.000,10,group
63,SPACE,char,28757.000,239.000,10,group
64,t,char,29677.000,920.000,11,t
65,h,char,29798.000,121.000,11,th
66,e,char,29936.000,138.000,11,the
67,y,char,30109.000,173.000,11,they
68,SPACE,char,30376.000,267.000,11,they
69,t,char,31211.000,835.000,12,t
70,h,char,31297.000,86.000,12,th
71,a,char,31505.000,208.000,12,tha
72,n,char,31553.000,48.000,12,than
