=== KEYSTROKE LOG ===
index,key,type,elapsed_ms,flight_time_ms,word_index,input_snapshot
=== ERROR ANALYSIS (Tn / Tb) ===
index,key,type,elapsed_ms,Tn_ms,Tb_ms,flight_time_ms
0,w,char,0.000,0.000,,0.000
1,h,char,134.000,134.000,,134.000
2,e,char,386.000,386.000,,252.000
3,m,char,528.000,528.000,,142.000
4,Backspace,backspace,1100.000,,1100.000,572.000
5,n,char,1769.000,1769.000,,669.000
6,SPACE,char,1922.000,1922.000,,153.000
7,g,char,2551.000,2551.000,,629.000
8,o,char,2777.000,2777.000,,226.000
9,o,char,2901.000,2901.000,,124.000
10,o,char,3210.000,3210.000,,309.000
11,d,char,3460.000,3460.000,,250.000
12,SPACE,char,3621.000,3621.000,,161.000
13,h,char,4526.000,4526.000,,905.000
14,e,char,4651.000,4651.000,,125.000
15,r,char,4813.000,4813.000,,162.000
16,SPACE,char,5009.000,5009.000,,196.000
17,c,char,5732.000,5732.000,,723.000
18,a,char,5961.000,5961.000,,229.000
19,r,char,6255.000,6255.000,,294.000
20,r,char,6471.000,6471.000,,216.000
21,y,char,6753.000,6753.000,,282.000
22,SPACE,char,7066.000,7066.000,,313.000
23,b,char,7735.000,7735.000,,669.000
24,e,char,7885.000,7885.000,,150.000
25,c,char,8284.000,8284.000,,399.000
26,a,char,8557.000,8557.000,,273.000
27,u,char,8855.000,8855.000,,298.000
28,s,char,9508.000,9508.000,,653.000
29,e,char,9944.000,9944.000,,436.000
30,SPACE,char,10128.000,10128.000,,184.000
31,p,char,10852.000,10852.000,,724.000
32,u,char,12526.000,12526.000,,1674.000
33,r,char,13187.000,13187.000,,661.000
34,SPACE,char,13592.000,13592.000,,405.000
35,s,char,14283.000,14283.000,,691.000
36,h,char,14403.000,14403.000,,120.000
37,e,char,14588.000,14588.000,,185.000
38,SPACE,char,14746.000,14746.000,,158.000
39,o,char,16122.000,16122.000,,1376.000
40,h,char,16588.000,16588.000,,466.000
41,Backspace,backspace,18215.000,,18215.000,1627.000
42,t,char,18578.000,18578.000,,363.000
43,h,char,18711.000,18711.000,,133.000
44,e,char,18945.000,18945.000,,234.000
45,r,char,19079.000,19079.000,,134.000
46,SPACE,char,19194.000,19194.000,,115.000
47,p,char,20004.000,20004.000,,810.000
48,a,char,20178.000,20178.000,,174.000
49,g,char,20437.000,20437.000,,259.000
50,e,char,20634.000,20634.000,,197.000
51,SPACE,char,20856.000,20856.000,,222.000
52,e,char,21947.000,21947.000,,1091.000
53,v,char,22262.000,22262.000,,315.000
54,e,char,22746.000,22746.000,,484.000
55,r,char,23163.000,23163.000,,417.000
56,y,char,23343.000,23343.000,,180.000
57,SPACE,char,23633.000,23633.000,,290.000
58,s,char,24260.000,24260.000,,627.000
59,l,char,24463.000,24463.000,,203.000
60,e,char,24692.000,24692.000,,229.000
61,e,char,24860.000,24860.000,,168.000
62,p,char,24993.000,24993.000,,133.000
63,SPACE,char,25156.000,25156.000,,163.000
64,t,char,25890.000,25890.000,,734.000
65,o,char,26073.000,26073.000,,183.000
