=== KEYSTROKE LOG ===
index,key,type,elapsed_ms,flight_time_ms,word_index,input_snapshot
9,k,char,4588.700,4588.700,,212.000
10,SPACE,char,5184.200,5184.200,,595.500
11,o,char,5680.400,5680.400,,496.200
12,u,char,5887.600,5887.600,,207.200
13,r,char,6288.300,6288.300,,400.700
14,SPACE,char,6575.600,6575.600,,287.300
15,w,char,7347.700,7347.700,,772.100
16,h,char,7564.700,7564.700,,217.000
17,i,char,7736.500,7736.500,,171.800
18,l,char,7938.500,7938.500,,202.000
19,e,char,8116.200,8116.200,,177.700
20,SPACE,char,8366.200,8366.200,,250.000
21,o,char,8938.000,8938.000,,571.800
22,v,char,9495.300,9495.300,,557.300
23,e,char,9715.400,9715.400,,220.100
24,r,char,9887.300,9887.300,,171.900
25,SPACE,char,10088.800,10088.800,,201.500
26,t,char,10830.800,10830.800,,742.000
27,w,char,11038.300,11038.300,,207.500
28,p,char,11296.400,11296.400,,258.100
29,Backspace,backspace,12227.900,,12227.900,931.500
30,i,char,12535.700,12535.700,,307.800
31,Backspace,backspace,13159.300,,13159.300,623.600
32,o,char,13399.000,13399.000,,239.700
33,SPACE,char,13973.500,13973.500,,574.500
34,d,char,14432.900,14432.900,,459.400
35,a,char,14548.000,14548.000,,115.100
36,y,char,17159.200,17159.200,,2611.200
37,SPACE,char,17778.900,17778.900,,619.700
38,m,char,18558.000,18558.000,,779.100
39,u,char,18755.600,18755.600,,197.600
40,c,char,19016.800,19016.800,,261.200
41,h,char,19231.300,19231.300,,214.500
42,SPACE,char,19498.500,19498.500,,267.200
43,g,char,20367.400,20367.400,,868.900
44,r,char,20606.500,20606.500,,239.100
45,o,char,20856.300,20856.300,,249.800
46,e,char,21054.200,21054.200,,197.900
47,Backspace,backspace,21800.500,,21800.500,746.300
48,w,char,22111.300,22111.300,,310.800
49,SPACE,char,22383.500,22383.500,,272.200
50,t,char,23005.700,23005.700,,622.200
51,h,char,23202.900,23202.900,,197.200
52,a,char,23332.500,23332.500,,129.600
53,n,char,23958.100,23958.100,,625.600
54,SPACE,char,24164.300,24164.300,,206.200
55,g,char,25068.000,25068.000,,903.700
56,o,char,25468.800,25468.800,,400.800
57,SPACE,char,25732.000,25732.000,,263.200
58,l,char,26370.200,26370.200,,638.200
59,e,char,27076.100,27076.100,,705.900
60,f,char,27346.200,27346.200,,270.100
61,t,char,27514.200,27514.200,,168.000
62,SPACE,char,27782.200,27782.200,,268.000
63,q,char,29180.000,29180.000,,1397.800
64,w,char,29584.200,29584.200,,404.200
65,i,char,29882.000,29882.000,,297.800
66,Backspace,backspace,30612.500,,30612.500,730.500
67,Backspace,backspace,30780.400,,30780.400,167.900
68,Backspace,backspace,30942.200,,30942.200,161.800
69,w,char,31592.400,31592.400,,650.200
70,i,char,31888.500,31888.500,,296.100
71,t,char,32166.600,32166.600,,278.100
72,h,char,32356.700,32356.700,,190.100
73,SPACE,char,32624.500,32624.500,,267.800
74,s,char,33406.700,33406.700,,782.200
75,o,char,33857.400,33857.400,,450.700
76,u,char,34068.500,34068.500,,211.100
77,t,char,34345.300,34345.300,,276.800
78,h,char,34546.700,34546.700,,201.400
79,SPACE,char,34851.500,34851.500,,304.800
80,n,char,35534.800,35534.800,,683.300
81,e,char,35758.700,35758.700,,223.900
82,e,char,35902.900,35902.900,,144.200
83,d,char,36074.900,36074.900,,172.000
84,SPACE,char,36340.800,36340.800,,265.900
85,t,char,37122.800,37122.800,,782.000
86,h,char,37320.800,37320.800,,198.000
87,s,char,37615.100,37615.100,,294.300
88,e,char,37824.500,37824.500,,209.400
89,s,char,38456.800,38456.800,,632.300
90,SPACE,char,39553.600,39553.600,,1096.800
91,w,char,40703.200,40703.200,,1149.600
92,o,char,40965.100,40965.100,,261.900
93,u,char,41175.000,41175.000,,209.900
94,l,char,41394.900,41394.900,,219.900
95,d,char,41584.300,41584.300,,189.400
96,SPACE,char,41815.100,41815.100,,230.800
97,o,char,42523.100,42523.100,,708.000
98,r,char,42801.200,42801.200,,278.100
99,SPACE,char,43060.900,43060.900,,259.700
100,y,char,43773.100,43773.100,,712.200
101,o,char,44032.800,44032.800,,259.700
102,u,char,44283.500,44283.500,,250.700
103,SPACE,char,45344.200,45344.200,,1060.700
104,j,char,45691.100,45691.100,,346.900
105,u,char,45861.500,45861.500,,170.400
106,s,char,46006.200,46006.200,,144.700
107,t,char,46751.500,46751.500,,745.300
108,SPACE,char,47091.500,47091.500,,340.000
109,t,char,47519.500,47519.500,,428.000
110,h,char,47685.800,47685.800,,166.300
111,a,char,47803.500,47803.500,,117.700
112,t,char,47973.600,47973.600,,170.100
113,SPACE,char,48366.200,48366.200,,392.600
114,w,char,48767.500,48767.500,,401.300
115,a,char,48987.600,48987.600,,220.100
116,l,char,49308.100,49308.100,,320.500
117,k,char,49636.100,49636.100,,328.000
118,SPACE,char,50065.800,50065.800,,429.700
119,e,char,50589.600,50589.600,,523.800
120,a,char,50827.600,50827.600,,238.000
121,r,char,51073.600,51073.600,,246.000
122,t,char,51299.600,51299.600,,226.000
123,h,char,51491.400,51491.400,,191.800
124,SPACE,char,52098.000,52098.000,,606.600
125,g,char,52465.800,52465.800,,367.800
126,o,char,52735.600,52735.600,,269.800
