=== KEYSTROKE LOG ===
index,key,type,elapsed_ms,flight_time_ms,word_index,input_snapshot
0,h,char,0.000,0.000,0,h
1,e,char,137.200,137.200,0,he
2,SPACE,char,1400.700,1263.500,0,he
3,b,char,1627.500,226.800,1,b
4,u,char,2283.400,655.900,1,bu
5,i,char,2521.600,238.200,1,bui
6,l,char,2732.300,210.700,1,buil
7,e,char,3420.000,687.700,1,buile
8,d,char,3635.400,215.400,1,builed
9,SPACE,char,6216.200,2580.800,1,builed
10,h,char,6788.200,572.000,2,h
11,o,char,7618.800,830.600,2,ho
12,w,char,7943.000,324.200,2,how
13,SPACE,char,8244.100,301.100,2,how
14,s,char,8923.700,679.600,3,s
15,o,char,9234.800,311.100,3,so
16,u,char,9461.900,227.100,3,sou
17,n,char,9668.100,206.200,3,soun
18,d,char,9852.300,184.200,3,sound
19,SPACE,char,10060.400,208.100,3,sound
20,y,char,10927.100,866.700,4,y
21,e,char,11140.400,213.300,4,ye
22,a,char,11360.200,219.800,4,yea
23,r,char,11477.800,117.600,4,year
24,SPACE,char,11746.100,268.300,4,year
25,b,char,12689.400,943.300,5,b
26,e,char,12911.800,222.400,5,be
27,t,char,13227.200,315.400,5,bet
28,w,char,13458.300,231.100,5,betw
29,w,char,13730.100,271.800,5,betww
30,Backspace,backspace,14406.100,676.000,5,betww
31,e,char,14618.400,212.300,5,betwe
32,e,char,14884.200,265.800,5,betwee
33,n,char,15158.300,274.100,5,between
34,SPACE,char,15339.800,181.500,5,between
35,h,char,16376.200,1036.400,6,h
36,o,char,16712.700,336.500,6,ho
37,w,char,16960.200,247.500,6,how
38,SPACE,char,17208.300,248.100,6,how
39,e,char,18179.100,970.800,7,e
40,a,char,18450.300,271.200,7,ea
41,c,char,18723.800,273.500,7,eac
42,h,char,19031.500,307.700,7,each
43,SPACE,char,19603.200,571.700,7,each
44,p,char,20134.400,531.200,8,p
45,r,char,20551.000,416.600,8,pr
46,e,char,20774.200,223.200,8,pre
47,s,char,21019.500,245.300,8,pres
48,s,char,21126.500,107.000,8,press
49,s,char,21252.300,125.800,8,presss
50,Backspace,backspace,22130.100,877.800,8,presss
51,SPACE,char,22771.500,641.400,8,press
52,h,char,23106.200,334.700,9,h
53,o,char,23511.400,405.200,9,ho
54,u,char,23726.600,215.200,9,hou
55,s,char,24676.400,949.800,9,hous
56,e,char,25011.200,334.800,9,house
57,SPACE,char,25540.400,529.200,9,house
58,s,char,25814.400,274.000,10,s
59,h,char,25964.100,149.700,10,sh
60,e,char,26161.700,197.600,10,she
61,SPACE,char,26389.900,228.200,10,she
62,j,char,27372.500,982.600,11,j
63,u,char,27559.800,187.300,11,ju
64,m,char,27930.900,371.100,11,jum
65,p,char,28180.500,249.600,11,jump
66,SPACE,char,28629.100,448.600,11,jump
67,l,char,29414.900,785.800,12,l
68,a,char,29588.600,173.700,12,la
69,s,char,29812.300,223.700,12,las
70,t,char,30000.500,188.200,12,last
71,SPACE,char,30280.300,279.800,12,last
72,t,char,32228.100,1947.800,13,t
73,h,char,32473.000,244.900,13,th
74,i,char,32674.500,201.500,13,thi
75,s,char,32825.700,151.200,13,this
76,SPACE,char,33598.600,772.900,13,this
77,l,char,34334.400,735.800,14,l
78,o,char,34507.800,173.400,14,lo
79,Backspace,backspace,35186.700,678.900,14,lo
80,i,char,35460.900,274.200,14,li
81,g,char,35880.000,419.100,14,lig
82,h,char,36059.900,179.900,14,ligh
83,t,char,36252.000,192.100,14,light
84,SPACE,char,36497.600,245.600,14,light
85,e,char,37609.700,1112.100,15,e
86,a,char,37804.500,194.800,15,ea
87,c,char,38072.400,267.900,15,eac
88,g,char,38286.500,214.100,15,eacg
89,SPACE,char,39146.100,859.600,15,eacg
90,m,char,40558.200,1412.100,16,m
91,u,char,40805.000,246.800,16,mu
92,s,char,41031.300,226.300,16,mus
93,i,char,41250.500,219.200,16,musi
94,c,char,41644.700,394.200,16,music
95,e,char,42332.800,688.100,16,musice
96,Backspace,backspace,43204.000,871.200,16,musice
97,SPACE,char,43618.600,414.600,16,music
98,n,char,44191.800,573.200,17,n
99,e,char,44500.500,308.700,17,ne
100,w,char,44659.900,159.400,17,new
101,SPACE,char,44859.800,199.900,17,new
102,b,char,45824.500,964.700,18,b
103,y,char,46047.700,223.200,18,by
104,SPACE,char,46320.400,272.700,18,by
105,w,char,47228.000,907.600,19,w
106,i,char,47444.000,216.000,19,wi
107,t,char,47932.600,488.600,19,wit
108,h,char,48114.000,181.400,19,with
109,SPACE,char,48542.600,428.600,19,with
110,w,char,49242.100,699.500,20,w
111,a,char,49433.900,191.800,20,wa
112,y,char,49801.800,367.900,20,way
113,SPACE,char,50094.000,292.200,20,way
114,h,char,51171.200,1077.200,21,h
115,o,char,51727.700,556.500,21,ho
116,w,char,52007.400,279.700,21,how
117,SPACE,char,52245.900,238.500,21,how
118,e,char,54090.500,1844.600,22,e
119,a,char,54301.500,211.000,22,ea
120,s,char,54944.200,642.700,22,eas
121,t,char,55205.500,261.300,22,east
122,SPACE,char,55841.400,635.900,22,east
123,e,char,57111.400,1270.000,23,e
124,a,char,57337.100,225.700,23,ea
125,n,char,57589.400,252.300,23,ean
126,d,char,57761.200,171.800,23,eand
127,Backspace,backspace,58805.200,1044.000,23,eand
128,Backspace,backspace,58991.400,186.200,23,ean
129,Backspace,backspace,59297.600,306.200,23,ea
130,Backspace,backspace,59705.700,408.100,23,e

=== ERROR ANALYSIS (Tn / Tb) ===
index,key,type,elapsed_ms,Tn_ms,Tb_ms,flight_time_ms
0,h,char,0.000,0.000,,0.000
1,e,char,137.200,137.200,,137.200
2,SPACE,char,1400.700,1400.700,,1263.500
3,b,char,1627.500,1627.500,,226.800
4,u,char,2283.400,2283.400,,655.900
5,i,char,2521.600,2521.600,,238.200
6,l,char,2732.300,2732.300,,210.700
7,e,char,3420.000,3420.000,,687.700
8,d,char,3635.400,3635.400,,215.400
9,SPACE,char,6216.200,6216.200,,2580.800
10,h,char,6788.200,6788.200,,572.000
11,o,char,7618.800,7618.800,,830.600
12,w,char,7943.000,7943.000,,324.200
13,SPACE,char,8244.100,8244.100,,301.100
14,s,char,8923.700,8923.700,,679.600
15,o,char,9234.800,9234.800,,311.100
16,u,char,9461.900,9461.900,,227.100
17,n,char,9668.100,9668.100,,206.200
18,d,char,9852.300,9852.300,,184.200
19,SPACE,char,10060.400,10060.400,,208.100
20,y,char,10927.100,10927.100,,866.700
21,e,char,11140.400,11140.400,,213.300
22,a,char,11360.200,11360.200,,219.800
23,r,char,11477.800,11477.800,,117.600
24,SPACE,char,11746.100,11746.100,,268.300
25,b,char,12689.400,12689.400,,943.300
26,e,char,12911.800,12911.800,,222.400
27,t,char,13227.200,13227.200,,315.400
28,w,char,13458.300,13458.300,,231.100
29,w,char,13730.100,13730.100,,271.800
30,Backspace,backspace,14406.100,,14406.100,676.000
31,e,char,14618.400,14618.400,,212.300
32,e,char,14884.200,14884.200,,265.800
33,n,char,15158.300,15158.300,,274.100
34,SPACE,char,15339.800,15339.800,,181.500
35,h,char,16376.200,16376.200,,1036.400
36,o,char,16712.700,16712.700,,336.500
37,w,char,16960.200,16960.200,,247.500
38,SPACE,char,17208.300,17208.300,,248.100
39,e,char,18179.100,18179.100,,970.800
40,a,char,18450.300,18450.300,,271.200
41,c,char,18723.800,18723.800,,273.500
42,h,char,19031.500,19031.500,,307.700
43,SPACE,char,19603.200,19603.200,,571.700
44,p,char,20134.400,20134.400,,531.200
45,r,char,20551.000,20551.000,,416.600
46,e,char,20774.200,20774.200,,223.200
47,s,char,21019.500,21019.500,,245.300
48,s,char,21126.500,21126.500,,107.000
49,s,char,21252.300,21252.300,,125.800
50,Backspace,backspace,22130.100,,22130.100,877.800
51,SPACE,char,22771.500,22771.500,,641.400
52,h,char,23106.200,23106.200,,334.700
53,o,char,23511.400,23511.400,,405.200
54,u,char,23726.600,23726.600,,215.200
55,s,char,24676.400,24676.400,,949.800
56,e,char,25011.200,25011.200,,334.800
57,SPACE,char,25540.400,25540.400,,529.200
58,s,char,25814.400,25814.400,,274.000
59,h,char,25964.100,25964.100,,149.700
