=== KEYSTROKE LOG ===
index,key,type,elapsed_ms,flight_time_ms,word_index,input_snapshot
0,w,char,0.000,0.000,0,w
1,a,char,168.000,168.000,0,wa
2,n,char,567.000,399.000,0,wan
3,t,char,967.000,400.000,0,want
4,SPACE,char,1186.000,219.000,0,want
5,f,char,1822.000,636.000,1,f
6,i,char,2027.000,205.000,1,fi
7,r,char,2472.000,445.000,1,fir
8,e,char,2701.000,229.000,1,fire
9,SPACE,char,2826.000,125.000,1,fire
10,a,char,3776.000,950.000,2,a
11,t,char,3953.000,177.000,2,at
12,SPACE,char,4294.000,341.000,2,at
13,n,char,5388.000,1094.000,3,n
14,o,char,5586.000,198.000,3,no
15,e,char,5960.000,374.000,3,noe
16,SPACE,char,6112.000,152.000,3,noe
17,r,char,6924.000,812.000,4,r
18,i,char,7186.000,262.000,4,ri
19,g,char,7860.000,674.000,4,rig
20,h,char,8080.000,220.000,4,righ
21,t,char,8318.000,238.000,4,right
22,SPACE,char,8505.000,187.000,4,right
23,b,char,9840.000,1335.000,5,b
24,e,char,10235.000,395.000,5,be
25,SPACE,char,10426.000,191.000,5,be
26,p,char,10866.000,440.000,6,p
27,e,char,11867.000,1001.000,6,pe
28,o,char,12142.000,275.000,6,peo
29,p,char,12359.000,217.000,6,peop
30,l,char,12591.000,232.000,6,peopl
31,e,char,12891.000,300.000,6,people
32,SPACE,char,13058.000,167.000,6,people
33,m,char,14564.000,1506.000,7,m
34,u,char,14984.000,420.000,7,mu
35,s,char,15309.000,325.000,7,mus
36,i,char,15569.000,260.000,7,musi
37,c,char,15898.000,329.000,7,music
38,SPACE,char,16112.000,214.000,7,music
39,o,char,16617.000,505.000,8,o
40,n,char,17890.000,1273.000,8,on
41,SPACE,char,18142.000,252.000,8,on
42,n,char,19321.000,1179.000,9,n
43,o,char,19509.000,188.000,9,no
44,SPACE,char,19782.000,273.000,9,no
45,m,char,21164.000,1382.000,10,m
46,y,char,21650.000,486.000,10,my
47,SPACE,char,21830.000,180.000,10,my
48,h,char,22158.000,328.000,11,h
49,e,char,22497.000,339.000,11,he
50,e,char,22671.000,174.000,11,hee
51,d,char,22937.000,266.000,11,heed
52,SPACE,char,23021.000,84.000,11,heed
53,p,char,24686.000,1665.000,12,p
54,l,char,25034.000,348.000,12,pl
55,a,char,25275.000,241.000,12,pla
56,n,char,25544.000,269.000,12,plan
57,t,char,25970.000,426.000,12,plant
58,SPACE,char,26103.000,133.000,12,plant
59,s,char,27059.000,956.000,13,s
60,o,char,27219.000,160.000,13,so
61,m,char,27544.000,325.000,13,som
62,e,char,28201.000,657.000,13,some
63,SPACE,char,28370.000,169.000,13,some
64,w,char,29308.000,938.000,14,w
65,e,char,29543.000,235.000,14,we
66,SPACE,char,29742.000,199.000,14,we
67,u,char,30525.000,783.000,15,u
68,s,char,30837.000,312.000,15,us
69,e,char,31092.000,255.000,15,use
70,SPACE,char,31266.000,174.000,15,use
71,a,char,32346.000,1080.000,16,a
72,l,char,32564.000,218.000,16,al
73,s,char,33159.000,595.000,16,als
74,o,char,33392.000,233.000,16,also
75,SPACE,char,33836.000,444.000,16,also
76,p,char,35142.000,1306.000,17,p
77,a,char,35348.000,206.000,17,pa
78,p,char,35610.000,262.000,17,pap
79,e,char,36119.000,509.000,17,pape
80,r,char,36369.000,250.000,17,paper
81,SPACE,char,36579.000,210.000,17,paper
82,m,char,36887.000,308.000,18,m
83,o,char,37153.000,266.000,18,mo
84,v,char,37601.000,448.000,18,mov
85,e,char,37798.000,197.000,18,move
86,SPACE,char,38047.000,249.000,18,move
87,d,char,39485.000,1438.000,19,d
88,o,char,40051.000,566.000,19,do
89,g,char,40605.000,554.000,19,dog
90,SPACE,char,40838.000,233.000,19,dog
91,m,char,41133.000,295.000,20,m
92,a,char,41301.000,168.000,20,ma
93,k,char,41543.000,242.000,20,mak
94,e,char,41855.000,312.000,20,make
95,SPACE,char,42452.000,597.000,20,make
96,b,char,43586.000,1134.000,21,b
97,e,char,43863.000,277.000,21,be
98,l,char,44061.000,198.000,21,bel
99,o,char,44284.000,223.000,21,belo
100,w,char,44759.000,475.000,21,below
101,SPACE,char,44957.000,198.000,21,below
102,w,char,47728.000,2771.000,22,w
103,a,char,48051.000,323.000,22,wa
104,t,char,48287.000,236.000,22,wat
105,c,char,48692.000,405.000,22,watc
106,j,char,48894.000,202.000,22,watcj
107,h,char,49261.000,367.000,22,watcjh
108,SPACE,char,50281.000,1020.000,22,watcjh
109,n,char,51241.000,960.000,23,n
110,o,char,51425.000,184.000,23,no
111,SPACE,char,51691.000,266.000,23,no
112,f,char,52426.000,735.000,24,f
113,o,char,52714.000,288.000,24,fo
114,o,char,52895.000,181.000,24,foo
115,d,char,53150.000,255.000,24,food
116,SPACE,char,53351.000,201.000,24,food
117,g,char,54435.000,1084.000,25,g
118,a,char,54784.000,349.000,25,ga
119,Backspace,backspace,55414.000,630.000,25,ga
120,l,char,55784.000,370.000,25,gl
121,a,char,56094.000,310.000,25,gla
122,s,char,57397.000,1303.000,25,glas
123,s,char,57585.000,188.000,25,glass
124,SPACE,char,57808.000,223.000,25,glass
125,u,char,58909.000,1101.000,26,u
126,s,char,59203.000,294.000,26,us
127,SPACE,char,59495.000,292.000,26,us

=== ERROR ANALYSIS (Tn / Tb) ===
index,key,type,elapsed_ms,Tn_ms,Tb_ms,flight_time_ms
0,w,char,0.000,0.000,,0.000
1,a,char,168.000,168.000,,168.000
2,n,char,567.000,567.000,,399.000
3,t,char,967.000,967.000,,400.000
4,SPACE,char,1186.000,1186.000,,219.000
5,f,char,1822.000,1822.000,,636.000
6,i,char,2027.000,2027.000,,205.000
7,r,char,2472.000,2472.000,,445.000
8,e,char,2701.000,2701.000,,229.000
9,SPACE,char,2826.000,2826.000,,125.000
10,a,char,3776.000,3776.000,,950.000
11,t,char,3953.000,3953.000,,177.000
12,SPACE,char,4294.000,4294.000,,341.000
13,n,char,5388.000,5388.000,,1094.000
14,o,char,5586.000,5586.000,,198.000
15,e,char,5960.000,5960.000,,374.000
16,SPACE,char,6112.000,6112.000,,152.000
17,r,char,6924.000,6924.000,,812.000
18,i,char,7186.000,7186.000,,262.000
19,g,char,7860.000,7860.000,,674.000
20,h,char,8080.000,8080.000,,220.000
21,t,char,8318.000,8318.000,,238.000
22,SPACE,char,8505.000,8505.000,,187.000
23,b,char,9840.000,9840.000,,1335.000
24,e,char,10235.000,10235.000,,395.000
25,SPACE,char,10426.000,10426.000,,191.000
26,p,char,10866.000,10866.000,,440.000
27,e,char,11867.000,11867.000,,1001.000
28,o,char,12142.000,12142.000,,275.000
29,p,char,12359.000,12359.000,,217.000
30,l,char,12591.000,12591.000,,232.000
31,e,char,12891.000,12891.000,,300.000
32,SPACE,char,13058.000,13058.000,,167.000
33,m,char,14564.000,14564.000,,1506.000
34,u,char,14984.000,14984.000,,420.000
35,s,char,15309.000,15309.000,,325.000
36,i,char,15569.000,15569.000,,260.000
37,c,char,15898.000,15898.000,,329.000
38,SPACE,char,16112.000,16112.000,,214.000
39,o,char,16617.000,16617.000,,505.000
40,n,char,17890.000,17890.000,,1273.000
41,SPACE,char,18142.000,18142.000,,252.000
42,n,char,19321.000,19321.000,,1179.000
43,o,char,19509.000,19509.000,,188.000
44,SPACE,char,19782.000,19782.000,,273.000
45,m,char,21164.000,21164.000,,1382.000
46,y,char,21650.000,21650.000,,486.000
47,SPACE,char,21830.000,21830.000,,180.000
48,h,char,22158.000,22158.000,,328.000
49,e,char,22497.000,22497.000,,339.000
50,e,char,22671.000,22671.000,,174.000
51,d,char,22937.000,22937.000,,266.000
52,SPACE,char,23021.000,23021.000,,84.000
53,p,char,24686.000,24686.000,,1665.000
54,l,char,25034.000,25034.000,,348.000
55,a,char,25275.000,25275.000,,241.000
56,n,char,25544.000,25544.000,,269.000
57,t,char,25970.000,25970.000,,426.000
58,SPACE,char,26103.000,26103.000,,133.000
59,s,char,27059.000,27059.000,,956.000
60,o,char,27219.000,27219.000,,160.000
61,m,char,27544.000,27544.000,,325.000
62,e,char,28201.000,28201.000,,657.000
63,SPACE,char,28370.000,28370.000,,169.000
64,w,char,29308.000,29308.000,,938.000
65,e,char,29543.000,29543.000,,235.000
66,SPACE,char,29742.000,29742.000,,199.000
67,u,char,30525.000,30525.000,,783.000
68,s,char,30837.000,30837.000,,312.000
69,e,char,31092.000,31092.000,,255.000
70,SPACE,char,31266.000,31266.000,,174.000
71,a,char,32346.000,32346.000,,1080.000
72,l,char,32564.000,32564.000,,218.000
73,s,char,33159.000,33159.000,,595.000
74,o,char,33392.000,33392.000,,233.000
75,SPACE,char,33836.000,33836.000,,444.000
76,p,char,35142.000,35142.000,,1306.000
77,a,char,35348.000,35348.000,,206.000
78,p,char,35610.000,35610.000,,262.000
79,e,char,36119.000,36119.000,,509.000
80,r,char,36369.000,36369.000,,250.000
81,SPACE,char,36579.000,36579.000,,210.000
82,m,char,36887.000,36887.000,,308.000
83,o,char,37153.000,37153.000,,266.000
84,v,char,37601.000,37601.000,,448.000
85,e,char,37798.000,37798.000,,197.000
86,SPACE,char,38047.000,38047.000,,249.000
87,d,char,39485.000,39485.000,,1438.000
88,o,char,40051.000,40051.000,,566.000
89,g,char,40605.000,40605.000,,554.000
90,SPACE,char,40838.000,40838.000,,233.000
91,m,char,41133.000,41133.000,,295.000
92,a,char,41301.000,41301.000,,168.000
93,k,char,41543.000,41543.000,,242.000
94,e,char,41855.000,41855.000,,312.000
95,SPACE,char,42452.000,42452.000,,597.000
96,b,char,43586.000,43586.000,,1134.000
97,e,char,43863.000,43863.000,,277.000
98,l,char,44061.000,44061.000,,198.000
99,o,char,44284.000,44284.000,,223.000
100,w,char,44759.000,44759.000,,475.000
101,SPACE,char,44957.000,44957.000,,198.000
102,w,char,47728.000,47728.000,,2771.000
103,a,char,48051.000,48051.000,,323.000
104,t,char,48287.000,48287.000,,236.000
105,c,char,48692.000,48692.000,,405.000
106,j,char,48894.000,48894.000,,202.000
107,h,char,49261.000,49261.000,,367.000
108,SPACE,char,50281.000,50281.000,,1020.000
109,n,char,51241.000,51241.000,,960.000
110,o,char,51425.000,51425.000,,184.000
111,SPACE,char,51691.000,51691.000,,266.000
112,f,char,52426.000,52426.000,,735.000
113,o,char,52714.000,52714.000,,288.000
114,o,char,52895.000,52895.000,,181.000
115,d,char,53150.000,53150.000,,255.000
116,SPACE,char,53351.000,53351.000,,201.000
117,g,char,54435.000,54435.000,,1084.000
118,a,char,54784.000,54784.000,,349.000
119,Backspace,backspace,55414.000,,55414.000,630.000
120,l,char,55784.000,55784.000,,370.000
121,a,char,56094.000,56094.000,,310.000
122,s,char,57397.000,57397.000,,1303.000
123,s,char,57585.000,57585.000,,188.000
124,SPACE,char,57808.000,57808.000,,223.000
125,u,char,58909.000,58909.000,,1101.000
